OBJECTID,Name,Height,POINT_X,POINT_Y,POINT_Z,Symbol,Pixel_x_Henniker,Pixel_y_Henniker,Pixel_x_DSC_0539,Pixel_y_DSC_0539,Pixel_x_DSC_0518,Pixel_y_DSC_0518,Pixel_x_Broyin,Pixel_y_Broyin,Pixel_x_Tirion,Pixel_y_Tirion
1,Al-Nabi Dau'd minaret,8.5,221795.1173,631010.0791,795,A,285,215,0,0,0,0,204,99,67,379
2,Zion Gate,9.5,221847.7156,631136.6861,792,A1,398,265,0,0,0,0,249,104,106,386
3,Dormition Abbey,28,221780.1173,631030.0791,795,A2,0,0,0,0,0,0,0,0,0,0
4,Southeast wall,8,222186.0104,631290.5859,750,B,586,340,289,1620,572,1728,296,130,150,410
5,Moghrabi Gate,9,222273.7378,631349.8998,737,B1,648,359,485,1665,756,1842,333,139,156,416
6,Omar Caliph minaret,21,221987.2732,631380.0786,787,C,759,229,850,1489,1085,1632,377,104,188,387
7,Hourva Synagogue ,23,221987.5735,631396.8704,787,C1,0,0,0,0,0,0,0,0,0,0
8,Al-Qalaa' minaret,12.5,221668.0523,631430.8263,793,D,839,177,1092,1466,1368,1598,388,73,197,351
9,Christ Church,11,221804.0676,631480.8926,800,D1,0,0,0,0,0,0,0,0,0,0
10,Al-Aqsa,17,222414.0998,631467.6233,752,E,865,290,1006,1582,1181,1726,448,124,243,402
11,Al-Ghawanima minaret,13.5,222234.1919,631920.875,771,E2,1401,236,2882,1539,2951,1630,793,120,485,385
12,David Citadel,18,221665.7782,631525.45,796,F,937,185,0,0,0,0,443,87,242,369
13,Petra Hotel,15,221745.4378,631566.7618,797,F2,0,0,0,0,0,0,0,0,0,0
14,Southeast wall,8,222100.1588,631198.2076,753,G,398,327,0,0,0,0,249,126,100,409
15,Bab Al-Silsila minaret,12,222314.9013,631620.0061,764,H,1051,241,1794,1559,1912,1678,589,110,334,389
16,Al-Omar minaret,18,221835.42,631681.1501,786,I,1064,201,1820,1501,2006,1609,558,96,318,374
17,Golden Gate,12,222558.8852,631808.7894,750,J,1458,366,3090,1728,3000,1827,860,184,543,434
18,Southeast wall,19.5,222593.5126,631489.0417,726,K,864,379,1021,1773,1138,1902,498,161,281,431
19,Harm Al-Sharif,20.5,222382.0862,631701.854,768,L,1165,229,2201,1524,2263,1648,676,112,403,388
20,Northeast corner,5,222458.5771,631815.6463,766,L1,1380,346,2787,1726,2789,1785,790,161,467,419
21,Holy Sepulchre Church,23,221838.6525,631751.7496,792,M,1114,210,1977,1504,2161,1605,597,100,339,374
22,Al-Hanka minaret,12,221818.5331,631813.2233,793,M1,1135,197,2132,1514,2298,1594,617,101,365,374
23,Bab Al-Asbat minaret*,10.5,222481.9768,631943.3614,756,N,1673,311,3519,1624,3468,1711,929,158,587,411
24,Northeast wall,11,222511.0225,632333.8243,772,O,2182,391,0,0,0,0,1143,190,737,430
25,Rockefeller Museum,21,222421.5788,632405.0113,786,O2,0,0,0,0,0,0,0,0,0,0
26,Lady of Zion Congregation,8,222194.081,631960.2298,777,P,1444,262,2975,1605,3008,1689,804,136,497,409
27,Austrian Hospice,10,222084.5045,631959.2697,773,P1,0,0,0,0,0,0,0,0,0,0
28,St. Mary of Agony Church,9,222112.2628,631917.7619,769,P2,0,0,0,0,0,0,0,0,0,0
29,Custodia Terrae Sanctae,22,221637.617,631816.9599,810,Q,0,0,2051,1437,2246,1522,0,0,0,0
30,Lions Gate,12,222537.5035,632019.6765,756,R,1808,381,4008,1716,3936,1794,970,187,613,436
31,East wall,9,222532.756,632182.8928,756,R1,1923,385,0,0,0,0,1061,191,677,434
32,East wall,9,222525.4598,632247.3434,756,R2,2048,388,0,0,0,0,1098,190,704,432
33,Al-Hamra minaret,10,222188.8971,632064.6022,786,S,1620,239,0,0,0,0,872,127,542,387
34,Northern corner wall,10,222036.0579,632199.5819,794,T,1784,257,3291,1539,3374,1606,909,136,576,398
35,Al-Maa'lawiah minaret,12,222031.244,632147.5037,793,T1,1595,201,0,0,0,0,847,124,523,386
36,Damascus Gate,12,221919.4624,632113.5781,777,T2,1580,232,0,0,0,0,841,129,517,392
37,Herod's Gate,12,222224.2995,632253.3366,785,U,1954,323,3902,1602,3864,1664,998,163,625,408
38,Santa Anna Church,12,222494.8131,632081.4312,762,V,1808,345,4120,1681,4072,1749,977,181,625,429
39,St. James Church,11,221795.2472,631316.1586,804,W,703,223,0,0,0,0,326,93,156,377
40,Church of the Redeemer,42,221915.1009,631674.9414,781,Z,0,0,1800,1477,1981,1578,0,0,0,0
